Model,Score
MOBILITY FIREGL 7800,5
RADEON 7500 Family,5
VIA/S3G UniChrome Pro IGP,5
Intel 82865G Controller,5
Intel 915G/915GV/910GL Embedded Controller Functio,5
RADEON 9000,5
GeForce2 Ti,5
XGI Volari Family v1.13.23.D_V,5
GeForce4 MX 440SE,5
GeForce4 MX 440,5
Quadro2 MXR/EX,5
Intel 945G Embedded Chipset Function 0,5
GeForce4 MX 4000,5
ASUS AGP-V3800PRO v31.40H,5
GeForce2 Integrated GPU,4
Dell 8200,4
VIA Chrome9 HC IGP,4
VIA/S3G UniChrome IGP,4
GeForce4 MX 460,4
GeForce2 Go,4
MOBILITY/RADEON 9000,4
GeForce3 Ti 200,4
VIA/S3G KM400/KN400,4
Intel 915G 910G Express,4
GeForce2 GTS/GeForce2 Pro,4
GeForce4 4200 Go,4
GeForce2 MX/MX 400,4
ABIT Siluro T400,4
VIA Chrome9 HC IGP Family,4
RADEON 7000 / RADEON VE Family,4
RIVA TNT2 Model 64/Model 64 Pro,4
RADEON IGP 320,4
GeForce4 440 Go,4
Intel 82915G/915GV/910GL,4
Intel 865 Embedded Controller,4
GeForce 6200A,4
RADEON 9200,4
MOBILITY RADEON 7500,4
Radeon IGP 320M,4
RADEON 9000 Family,4
VIA Chrome9 HC IGP Family WDDM,4
Intel Media Accelerator 500,3
RIVA TNT2/TNT2 Pro,3
Matrox Parhelia 128MB,3
VIA Chrome9 HC IGP WDDM 1.1,3
GeForce4 420 Go,3
VIA/S3G DeltaChrome IGP,3
MOBILITY RADEON 9000,3
GeForce2 MX 100/200,3
Intel 946GZ Embedded Chipset,3
RADEON 7500,3
S3 Inc. Savage4,3
AMIGAMERLIN 3.1-R1 For Voodoo 4 4500 PCI,3
Rage Fury Pro/Xpert 2000 Pro,3
Intel 82915G/GV/910GL Express,3
Vanta/Vanta LT,3
MOBILITY RADEON 9200,3
MOBILITY RADEON 9100 IGP,3
Intel Media Accelerator 3150,3
Intel 82845G/GL/GE/PE/GV Controller,3
RADEON 7200,3
RADEON 9200 PRO Family,3
VIA Chrome9 HC IGP WDDM,3
GeForce2 MX,3
RADEON IGP 345M,3
Radeon 7000 / Radeon VE,3
VIA Chrome9 HC3 IGP,3
Intel 82915G/GV/910GL Advanced v3.5,3
Intel 82845G/GL Controller,3
RADEON 9200 LE Family,3
RADEON 9250,3
Intel 946GZ Express,3
GeForce2 MX with TV Out,3
RADEON 9200 SE,3
GeForce3 Ti 500,3
Intel GMA 3150 Express,3
Radeon IGP 340M,3
Quadro NVS 280 SD,2
Dell 8100,2
VIA Chrome9 HC IGP Prerelease WDDM 1.1,2
Intel 82845G Controller,2
Radeon VE,2
Intel Extreme Controller,2
S3 SuperSavage/IXC 1014,2
VisionTek Radeon 7000,2
Mobile Intel 915GM/GMS/910GML Express,2
Mobile Intel 945 Express,2
VIA Chrome9 HCM IGP,2
RADEON IGP 34xM,2
S3 ProSavageDDR,1
Rage 128 Pro,1
VIA Chrome9 HC3 IGP WDDM 1.1,1
Intel 82852/82855 GM/GME Controller,1
RAGE 128 PRO AGP 4X TMDS,1
Quadro2 Pro,1
FireMV 2200 PCI,1
